Description,Revenue,units,Customers
ENAMEL BREAD BIN CREAM,10555.85,888,156
ENAMEL CAT BOWL CREAM,91.8,28,2
ENAMEL COLANDER CREAM,2269.26,471,96
ENAMEL COLLANDER CREAM,338.95,73,15
ENAMEL DINNER PLATE PANTRY,19.799999999999997,12,1
ENAMEL DOG BOWL CREAM,120.48,28,2
ENAMEL FIRE BUCKET CREAM,1896.23,275,76
ENAMEL FLOWER JUG CREAM,10903.03,1903,224
ENAMEL JUG PANTRY,30.0,8,2
ENAMEL MEASURING JUG CREAM,6113.54,1494,182
ENAMEL MUG PANTRY,15.0,12,1
ENAMEL PINK COFFEE CONTAINER,769.84,682,48
ENAMEL PINK SUGAR CONTAINER,321.90000000000003,239,16
ENAMEL PINK TEA CONTAINER,785.65,634,51
ENAMEL WASH BOWL CREAM,2420.7000000000003,714,93
ENAMEL WATERING CAN CREAM,3890.84,872,124
ENCHANTED BIRD COATHANGER 5 HOOK,6901.43,1647,144
ENCHANTED BIRD PLANT CAGE,960.85,291,37
ENCHANTED GARDEN WROUGHT IRON TABLE,14.95,1,1
ENGLISH ROSE DESIGN KITCHEN APRON,-11.9,-2,2
ENGLISH ROSE DESIGN PEG BAG,3081.51,1557,108
ENGLISH ROSE DESIGN QUILTED THROW,2232.1,158,17
ENGLISH ROSE DESIGN SHOPPING BAG,-2.55,-1,1
ENGLISH ROSE EDWARDIAN PARASOL,1515.0,505,1
ENGLISH ROSE GARDEN SECATEURS,1688.86,1662,98
ENGLISH ROSE HOT WATER BOTTLE,6516.66,1621,150
ENGLISH ROSE IRONING BOARD COVER,312.05,83,12
ENGLISH ROSE METAL WASTE BIN,209.45000000000002,71,28
ENGLISH ROSE MUG IN GIFT BOX,217.59,137,7
ENGLISH ROSE NOTEBOOK A6 SIZE,255.95000000000002,507,29
ENGLISH ROSE NOTEBOOK A7 SIZE,1427.1399999999999,3396,124
ENGLISH ROSE PHOTO FRAME ,60.45,13,4
ENGLISH ROSE PLACEMATS,228.75,61,11
ENGLISH ROSE SCENTED HANGING FLOWER,288.25,305,20
ENGLISH ROSE SCENTED HANGING HEART,148.75,35,15
ENGLISH ROSE SCISSORS,122.5,98,16
ENGLISH ROSE SET/3 GARDEN TOOLS,-7.950000000000001,-1,3
ENGLISH ROSE SMALL SCENTED FLOWER,113.05,133,22
ENGLISH ROSE SPIRIT LEVEL ,654.42,682,46
ENGLISH ROSE TABLE CLOCK,271.4,132,4
ENGLISH ROSE TABLE CLOTH,1681.2,168,28
ENGLISH ROSE TAPE MEASURE,201.69,165,24
ENGLISH ROSE TEA SET IN GIFT BOX,165.84,40,6
ENGLISH ROSE TORCH,31.349999999999994,19,4
ENVELOPE 50 BLOSSOM IMAGES,498.74,787,45
ENVELOPE 50 CURIOUS IMAGES,58.309999999999995,-69,20
ENVELOPE 50 ROMANTIC IMAGES,316.33,445,20
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,358.44,3018,22
ETCHED GLASS BIRD TREE DECORATION,617.5,494,31
ETCHED GLASS COASTER,938.57,1379,45
ETCHED GLASS DROPLET DECORATION,527.72,1186,20
ETCHED GLASS STAR TREE DECORATION,573.75,459,32
EUCALYPTUS & PINECONE  WREATH,1068.9,386,38
F FAIRY POTPOURRI CUSHIONS LAVENDER,90.48,120,4
F.FAIRY S/3 CANDLE/GLASS,74.19999999999999,36,4
"F.FAIRY S/3 CANDLE/GLASS, ROSE",362.7,186,5
"F.FAIRY S/3 CANDLE/GLASS,LAVENDER",296.40000000000003,152,3
"F.FAIRY S/3 CANDLE/GLASS,LILY/VALLY",265.2,136,3
FAIRY CAKE BIRTHDAY CANDLE SET,2281.15,645,80
FAIRY CAKE CANDLES,3639.57,2721,58
FAIRY CAKE CERAMIC BUTTER DISH,434.70000000000005,162,11
FAIRY CAKE DESIGN UMBRELLA,2476.17,681,82
FAIRY CAKE FLANNEL ASSORTED COLOUR,4047.38,2709,120
FAIRY CAKE GREETINGS CARD,217.44,528,33
FAIRY CAKE NOTEBOOK A5 SIZE,398.65,469,43
FAIRY CAKE PLACEMATS,262.05,75,12
FAIRY CAKE PLACEMATS ,138.75,37,12
FAIRY CAKE WICKER PICNIC BASKET ,165.75,13,10
FAIRY CAKES  WALL THERMOMETER,58.65,23,8
FAIRY CAKES GIFT BAG,18.06,43,7
FAIRY CAKES NOTEBOOK A6 SIZE,792.1800000000001,1215,76
FAIRY CAKES NOTEBOOK A7 SIZE,515.6999999999999,1222,69
FAIRY CAKES PHOTO FRAME,103.75,83,2
FAIRY CAKES RECTANGLUAR BOXES,124.95,21,13
FAIRY CAKES ROUND NESTING BOXES,162.9,30,7
FAIRY CAKES TABLE CLOCK,17.9,2,3
FAIRY CAKES TILE COASTER,76.25,61,10
FAIRY DREAMS INCENSE ,291.61,1466,23
FAIRY SOAP SOAP HOLDER,2250.23,1415,71
FAIRY TALE COTTAGE NIGHT LIGHT,1262.1,676,46
FAIRY TALE COTTAGE NIGHTLIGHT,6331.5,3658,91
FAMILY ALBUM WHITE PICTURE FRAME,12952.24,1645,143
FAMILY PHOTO FRAME CORNICE,6873.639999999999,759,130
FAN BLACK FRAME ,14.209999999999999,49,8
"FANCY FONT BIRTHDAY CARD, ",3133.56,7922,151
FANCY FONT HOME SWEET HOME DOORMAT,2207.25,359,43
FANCY FONTS BIRTHDAY WRAP,4915.0,12550,177
FANNY'S REST STOPMETAL SIGN,3708.6200000000003,1832,110
FAUX FUR CHOCOLATE THROW,639.0,40,16
FAWN AND MUSHROOM GREETING CARD,300.71999999999997,716,38
FAWN BLUE HOT WATER BOTTLE,16308.77,5615,251
"FEATHER DUSTER, COAL BLACK",195.0,156,17
"FEATHER DUSTER, LIGHT PINK",7.5,6,4
FEATHER HEART LIGHTS,-20.0,-8,2
"FEATHER PEN,COAL BLACK",1366.09,2101,48
"FEATHER PEN,HOT PINK",2364.0299999999997,3801,74
"FEATHER PEN,LIGHT PINK",1266.6999999999998,1988,60
FELT EGG COSY BLUE RABBIT ,656.87,815,46
FELT EGG COSY CHICKEN,1001.87,1175,74
FELT EGG COSY LADYBIRD ,362.35999999999996,493,22
FELT EGG COSY WHITE RABBIT ,973.9699999999999,1237,64
FELT FARM ANIMAL CHICKEN,598.08,504,40
FELT FARM ANIMAL HEN,244.71,387,19
FELT FARM ANIMAL RABBIT,691.8,864,45
FELT FARM ANIMAL SHEEP,166.89,261,13
FELT FARM ANIMAL WHITE BUNNY ,618.1999999999999,1400,49
FELT TOADSTOOL  SMALL,504.04999999999995,593,36
FELT TOADSTOOL LARGE,967.27,803,48
FELTCRAFT 6 FLOWER FRIENDS,16198.990000000002,8191,315
FELTCRAFT BOY JEAN-PAUL KIT,1116.93,227,59
FELTCRAFT BUTTERFLY HEARTS,11687.699999999999,8578,280
FELTCRAFT CHRISTMAS FAIRY,9712.68,2372,209
FELTCRAFT CUSHION BUTTERFLY,14493.22,4156,179
FELTCRAFT CUSHION OWL,14750.710000000001,4118,192
FELTCRAFT CUSHION RABBIT,15115.61,4266,181
FELTCRAFT DOLL EMILY,6412.06,2296,189
FELTCRAFT DOLL MARIA,2565.4100000000003,957,111
FELTCRAFT DOLL MOLLY,11421.33,4203,217
FELTCRAFT DOLL ROSIE,9116.86,3296,212
FELTCRAFT GIRL AMELIE KIT,3402.88,696,106
FELTCRAFT GIRL NICOLE KIT,2085.1400000000003,422,78
FELTCRAFT HAIRBAND PINK AND BLUE,1103.28,1320,99
FELTCRAFT HAIRBAND PINK AND PURPLE,1114.08,1296,100
FELTCRAFT HAIRBAND RED AND BLUE,918.8299999999999,1103,92
"FELTCRAFT HAIRBAND S/2, PINK/PURPLE",40.8,48,4
"FELTCRAFT HAIRBAND, S/2, RED/BLUE",134.28,180,4
FELTCRAFT HAIRBANDS PINK + WHITE ,40.8,48,4
FELTCRAFT HAIRBANDS PINK AND WHITE ,989.54,1166,92
FELTCRAFT PRINCESS CHARLOTTE DOLL,8928.31,2463,209
FELTCRAFT PRINCESS LOLA DOLL,8064.99,2215,202
FELTCRAFT PRINCESS OLIVIA DOLL,5700.2,1576,149
FENG SHUI PILLAR CANDLE,822.7,4330,31
FILIGREE DIAMANTE CHAIN,51.0,4,2
FILIGREE DIAMANTE EARRINGS,63.75,15,3
FILIGREE HEART BIRD WHITE ,1197.79,950,41
FILIGREE HEART BUTTERFLY WHITE ,1533.31,1261,42
FILIGREE HEART DAISY WHITE,1043.59,851,41
FILIGREE WALL MIRROR  ANTIQUE WHITE,493.55,53,13
FILIGRIS HEART WITH BUTTERFLY,9315.39,7795,146
FINE SILVER NECKLACE W PASTEL FLOWE,131.25,22,7
FINE WICKER HEART ,2953.5,2454,133
FIRE POLISHED GLASS BRACELET GREEN,33.75,9,2
FIRE POLISHED GLASS BRACELET MONTAN,22.5,6,1
FIRE POLISHED GLASS NECKL BRONZE,35.7,6,2
FIRE POLISHED GLASS NECKL GOLD,11.9,2,1
FIRE POLISHED GLASS NECKL GREEN,59.5,10,3
FIRE POLISHED GLASS NECKL SILVER,35.7,6,2
FIRST AID TIN,8170.35,2577,149
FIRST CLASS HOLIDAY PURSE ,156.57000000000002,51,11
FIRST CLASS LUGGAGE TAG ,272.13,225,37
FIRST CLASS PASSPORT COVER ,370.48,178,33
FIVE CATS HANGING DECORATION,751.72,256,41
FIVE HEART HANGING DECORATION,2372.5000000000005,814,91
FLAG OF ST GEORGE ,343.2,208,26
FLAG OF ST GEORGE CAR FLAG,250.74,647,25
FLAG OF ST GEORGE CHAIR,173.4,36,8
FLAMES SUNGLASSES PINK LENSES,84.44999999999999,47,8
FLAMINGO LIGHTS,2141.05,471,38
FLAT GLASS  BAUBLE WHITE FLOCK ,14.45,17,3
FLAT PALM T-LIGHT HOLDER,84.15,75,7
FLOOR CUSHION ELEPHANT CARNIVAL,595.55,69,13
FLOOR LAMP SHADE WOOD BASE,394.0,44,6
FLORAL BATHROOM SET,137.7,38,16
FLORAL BLUE MONSTER,208.75,53,13
FLORAL DINOSAUR GREEN,63.75,15,7
FLORAL ELEPHANT SOFT TOY,2932.75,761,41
FLORAL FOLK STATIONERY SET,2162.7000000000003,1395,96
FLORAL PINK MONSTER,265.98,74,13
FLORAL SOFT CAR TOY,300.0,80,18
FLOWER BLUE CLOCK W/SUCKER,36.55,43,7
FLOWER BLUE CLOCK WITH SUCKER,32.769999999999996,113,7
FLOWER BROOCH 4 ASSORTED COLOURS,19.8,4,2
FLOWER BURST SILVER RING CRYSTAL,67.5,18,7
FLOWER BURST SILVER RING GREEN,22.5,6,4
FLOWER BURST SILVER RING MIDN'T BLU,75.0,20,6
FLOWER BURST SILVER RING OPAL,112.5,30,9
FLOWER BURST SILVER RING ROSE,48.75,13,4
FLOWER DES BLUE HANDBAG/ORANG HANDL,3.75,1,1
FLOWER FAIRY 5 DRAWER LINERS,112.19999999999999,44,10
FLOWER FAIRY 5 SUMMER DRAW LINERS,15.299999999999999,6,1
FLOWER FAIRY INCENSE BOUQUET,347.6,832,15
FLOWER FAIRY INCENSE LAVENDER,128.03,299,7
FLOWER FAIRY INCENSE LILY,257.56,664,6
FLOWER FAIRY INCENSE ROSE,123.09,286,8
"FLOWER FAIRY MUG+COASTER,LAVENDER",18.75,5,3
"FLOWER FAIRY MUG+COASTER,ROSE",22.5,6,1
FLOWER FAIRY OIL BURNER SET ROSE,453.0,360,6
FLOWER FAIRY OIL BURNER SET SUMMER,379.25,301,6
FLOWER FAIRY POTPOURRI CUSHION LILY,182.65,281,2
FLOWER FAIRY SET 3 CANDLES LAVENDER,374.8,184,12
FLOWER FAIRY SET OF 3 LILY CANDLES,390.0,200,5
FLOWER FAIRY SUMMER BOUQUET SACHET,113.82000000000001,271,11
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",395.25,155,29
FLOWER GARLAND NECKLACE RED,95.4,12,5
"FLOWER GLASS GARLAND NECKL.36""BLACK",190.8,24,7
"FLOWER GLASS GARLAND NECKL.36""BLUE",127.2,16,4
"FLOWER GLASS GARLAND NECKL.36""GREEN",79.5,10,4
"FLOWER GLASS GARLD NECKL36""AMETHYST",111.30000000000001,14,7
"FLOWER GLASS GARLD NECKL36""TURQUOIS",55.65,7,3
FLOWER PENCIL/RUBBER+5 MINI PENCILS,95.76,228,6
FLOWER PURPLE CLOCK W/SUCKER,8.5,10,3
FLOWER PURPLE CLOCK WITH SUCKER,3.7699999999999996,13,2
FLOWER VINE RAFFIA FOOD COVER,2798.4300000000003,774,91
FLOWER WINDMILL,146.69,121,11
FLOWERS  STICKERS,547.66,820,47
FLOWERS AND BIRDS WALL PLAQUE,15.9,2,1
FLOWERS CHANDELIER T-LIGHT HOLDER,701.59,331,18
FLOWERS HANDBAG blue and orange,58.75,47,2
FLOWERS TILE COASTER,305.98,676,21
FLOWERS TILE HOOK,105.42,73,12
FLOWERS WALL THERMOMETER,127.49999999999999,74,2
FLUTED ANTIQUE CANDLE HOLDER,1599.33,1951,74
FLYING PIG WATERING CAN,728.7500000000001,317,39
FLYING SAUCER TABLE LIGHT IN WHITE,433.65000000000003,147,3
FOLDING BUTTERFLY MIRROR HOT PINK ,1211.36,1578,57
FOLDING BUTTERFLY MIRROR IVORY ,448.38,555,42
FOLDING BUTTERFLY MIRROR RED  ,824.33,1087,37
FOLDING CAMPING SCISSOR W/KNIF & S,1.44,12,1
FOLDING MIRROR HOT PINK ,108.96,144,4
FOLDING MIRROR IVORY ,14.939999999999998,18,2
FOLDING MIRROR RED  ,14.939999999999998,18,2
FOLDING SHOE TIDY,64.14999999999999,25,2
FOLDING UMBRELLA  CHOC/WHITE  SPOT,533.7,166,19
FOLDING UMBRELLA  CREAM/MULTI  SPOT,906.75,285,28
FOLDING UMBRELLA  PINK/WHITE  SPOT,841.9499999999999,301,24
FOLDING UMBRELLA  WHITE/RED  SPOT,773.5500000000001,229,16
"FOLDING UMBRELLA , BLACK/BLUE  SPOT",1354.95,361,31
"FOLDING UMBRELLA , RED/WHITE SPOT",1769.8500000000001,503,48
FOLDING UMBRELLA BLACKBLUE POLKADOT,571.52,114,31
FOLDING UMBRELLA CHOCOLATE POLKADOT,311.26,63,18
FOLDING UMBRELLA CREAM POLKADOT,583.45,119,19
FOLDING UMBRELLA PINKWHITE POLKADOT,323.31,66,19
FOLDING UMBRELLA RED/WHITE POLKADOT,1065.28,215,41
FOLDING UMBRELLA WHITE/RED POLKADOT,360.70000000000005,74,16
"FOLK ART GREETING CARD,pack/12",132.75000000000003,45,11
FOLK ART METAL HEART T-LIGHT HOLDER,185.00000000000003,493,31
FOLK ART METAL STAR T-LIGHT HOLDER,181.58,463,27
FOLK FELT HANGING MULTICOL GARLAND,1065.6,880,14
FOLKART BAUBLE CHRISTMAS DECORATION,500.82000000000005,1002,26
FOLKART CHRISTMAS TREE T-LIGHT HOLD,39.900000000000006,105,9
FOLKART CLIP ON STARS,374.52000000000004,757,31
FOLKART CROWN TABLE DECORATIONS,161.88,172,14
FOLKART HEART NAPKIN RINGS,375.85,175,29
FOLKART STAR CHRISTMAS DECORATIONS,1021.99,2239,64
FOLKART ZINC CLIP ON ANGEL WINGS,7.98,21,4
FOLKART ZINC HEART CHRISTMAS DEC,6840.7699999999995,9017,131
FOLKART ZINC STAR CHRISTMAS DEC,533.8,628,31
FOOD CONTAINER SET 3 LOVE HEART ,7389.67,4207,142
"FOOD COVER WITH BEADS , SET 2 SIZES",11.25,3,1
FOOD COVER WITH BEADS SET 2 ,2756.92,762,72
FOOD/DRINK SPONGE STICKERS,273.0,1300,32
FOOD/DRINK SPUNGE STICKERS,138.03,663,14
FOOT STOOL HOME SWEET HOME ,2915.7,318,77
FORKED CACTUS CANDLE,421.43000000000006,199,21
FOUR HOOK  WHITE LOVEBIRDS,5526.51,2811,172
FOUR PICTURE WHITE GLASS FRAME,26.25,7,2
FOUR RABBIT EASTER DECORATIONS,88.75,71,12
FRAPPUCINO SCARF KNITTING KIT,440.08,294,30
FREESTYLE CANVAS ART PICTURE,148.45,99,13
FRENCH BATHROOM SIGN BLUE METAL,3068.0699999999997,1903,154
FRENCH BLUE METAL DOOR SIGN 0,431.9,346,34
FRENCH BLUE METAL DOOR SIGN 1,1018.64,812,43
FRENCH BLUE METAL DOOR SIGN 2,867.51,694,41
FRENCH BLUE METAL DOOR SIGN 3,719.93,574,44
FRENCH BLUE METAL DOOR SIGN 4,636.82,508,39
FRENCH BLUE METAL DOOR SIGN 5,678.72,542,39
FRENCH BLUE METAL DOOR SIGN 6,604.51,482,33
FRENCH BLUE METAL DOOR SIGN 7,595.61,476,38
FRENCH BLUE METAL DOOR SIGN 8,531.82,424,37
FRENCH BLUE METAL DOOR SIGN 9,408.15,327,29
FRENCH BLUE METAL DOOR SIGN No,917.2,795,31
"FRENCH BLUE METAL DOOR SIGN, 0",440.0,352,30
"FRENCH BLUE METAL DOOR SIGN, 1",566.25,453,36
"FRENCH BLUE METAL DOOR SIGN, 2",485.0,388,39
"FRENCH BLUE METAL DOOR SIGN, 3",477.5,382,35
"FRENCH BLUE METAL DOOR SIGN, 4",446.25,357,32
"FRENCH BLUE METAL DOOR SIGN, 5",455.0,364,35
"FRENCH BLUE METAL DOOR SIGN, 6",400.0,320,31
"FRENCH BLUE METAL DOOR SIGN, 7",421.25,337,32
"FRENCH BLUE METAL DOOR SIGN, 8",418.75,335,31
"FRENCH BLUE METAL DOOR SIGN, 9",423.75,339,30
"FRENCH BLUE METAL DOOR SIGN, No",316.25,253,24
"FRENCH BOTTLE , LAVENDER",427.94999999999993,271,24
"FRENCH BOTTLE, BRASSERIE DES ARTIST",312.44999999999993,201,17
FRENCH CARRIAGE LANTERN,572.95,89,29
FRENCH CHATEAU LARGE FRUIT BOWL ,195.89999999999998,82,13
FRENCH CHATEAU LARGE PLATTER ,284.55,109,20
FRENCH CHATEAU OVAL PLATTER,347.84999999999997,163,12
FRENCH CHATEAU SMALL FRUITBOWL,308.25,209,16
FRENCH EMROIDR LAVENDER SCENT HEART,317.1,151,23
FRENCH ENAMEL CANDLEHOLDER,2534.3900000000003,1286,104
FRENCH ENAMEL POT W LID,1519.91,623,62
FRENCH ENAMEL SOAP DISH WITH LID,100.80000000000001,48,1
FRENCH ENAMEL UTENSIL HOLDER,748.55,209,31
FRENCH ENAMEL WATER BASIN,1051.56,357,63
FRENCH FLORAL CUSHION COVER ,613.9899999999999,455,31
FRENCH GARDEN SIGN BLUE METAL,1049.33,843,87
FRENCH KITCHEN SIGN BLUE METAL,1798.89,1476,129
FRENCH LATTICE CUSHION COVER ,298.99,333,29
FRENCH LAUNDRY SIGN BLUE METAL,1935.7599999999998,1204,91
FRENCH LAVENDER SCENT HEART,486.15000000000003,542,41
FRENCH PAISLEY CUSHION COVER,174.52,164,12
FRENCH PAISLEY CUSHION COVER ,329.34000000000003,266,29
FRENCH STYLE EMBOSSED HEART CABINET,529.8,25,19
FRENCH STYLE STORAGE JAR BONBONS,391.25999999999993,1350,36
FRENCH STYLE STORAGE JAR CAFE ,620.2699999999999,1315,34
FRENCH STYLE STORAGE JAR JAM,86.42999999999999,219,19
FRENCH STYLE WALL DRESSER,750.0,6,7
FRENCH STYLE WIRE DOOR CABINET ,29.95,1,1
FRENCH TOILET SIGN BLUE METAL,1874.72,1559,117
FRENCH WC SIGN BLUE METAL,2874.55,2386,143
FRESHWATER PEARL BRACELET GOLD,51.0,20,3
FRESHWATER PEARL BRACELET IVORY,76.5,30,6
FRESHWATER PEARL BRACELET PINK,33.15,13,3
FRIDGE MAGNETS LA VIE EN ROSE,539.4499999999999,653,34
FRIDGE MAGNETS LES ENFANTS ASSORTED,650.5,802,37
FRIDGE MAGNETS US DINER ASSORTED,989.8,1222,46
FROG CANDLE,342.95,511,23
FROG KING WATERING CAN,305.40000000000003,132,20
FROG SOCK PUPPET,265.3,94,17
FROSTED BOX 9 WHITE T-LIGHT CANDLES,1066.86,2697,80
FROSTED WHITE BASE ,78.97999999999999,170,14
FRUIT SALAD BAG CHARM,45.63,27,7
FRUIT TREE AND BIRDS WALL PLAQUE,604.5,230,13
FRYING PAN BLUE POLKADOT,363.5,106,24
FRYING PAN BLUE POLKADOT ,850.25,217,26
FRYING PAN BLUE RETROSPOT,12.75,3,2
FRYING PAN PINK POLKADOT,1771.29,469,44
FRYING PAN PINK POLKADOT ,1618.0,388,40
FRYING PAN PINK RETROSPOT,25.5,6,2
FRYING PAN RED POLKADOT ,2636.71,695,56
FRYING PAN RED RETROSPOT,1485.0,418,64
FRYING PAN UNION FLAG,9016.61,2299,99
FULL ENGLISH BREAKFAST PLATE,8220.6,2296,105
FUNKY DIVA PEN,6341.41,7555,83
FUNKY FLOWER COFFEE POT,3.75,1,1
FUNKY FLOWER PICNIC BAG FOR 4,33.9,2,2
FUNKY GIRL ADDRESS BOOK,90.97,173,6
FUNKY GIRLZ ASST MAGNETIC MEMO PAD,107.25,165,15
FUNKY GIRLZ MAGNETIC TO DO LIST ,2.6,4,1
FUNKY MONKEY CUSHION COVER,191.25,225,12
FUNKY MONKEY GIFT BAG MEDIUM,292.74,1057,25
FUNKY MONKEY GIFT BAG SMALL,118.38,1262,3
FUNKY MONKEY MUG,632.9,658,21
FUNKY WASHING UP GLOVES ASSORTED,3988.9200000000005,1944,128
FUSCHIA FLOWER PURSE WITH BEADS,119.22999999999999,119,10
FUSCHIA RETRO BAR STOOL,866.85,23,7
FUSCHIA TABLE RUN FLOWER ,31.25,23,3
FUSCHIA VOILE POINTY SHOE DEC,43.29,59,6
FUSCHIA/GREEN STRIPE WOOLLY BLANKET,321.3,54,2
GAOLERS KEYS DECORATIVE GARDEN ,6389.77,1963,118
GARAGE KEY FOB,346.20000000000005,510,49
GARDEN METAL SIGN ,2626.4999999999995,1778,119
GARDEN PATH JOURNAL,810.6099999999999,450,55
GARDEN PATH NOTEBOOK ,240.89999999999998,146,33
GARDEN PATH POCKET BOOK,445.99999999999994,584,23
GARDEN PATH SKETCHBOOK,801.58,291,51
GARDENERS KNEELING PAD,4622.56,3968,159
GARDENERS KNEELING PAD CUP OF TEA ,6865.889999999999,4321,210
GARDENERS KNEELING PAD KEEP CALM ,9386.83,5799,220
GARDENIA 1 WICK MORRIS BOXED CANDLE,1551.17,405,45
GARDENIA 3 WICK MORRIS BOXED CANDLE,1324.73,385,45
"GARLAND , WOODEN  "" HAPPY EASTER""",82.5,66,6
GARLAND WITH HEARTS AND BELLS,1487.5500000000002,309,42
GARLAND WITH STARS AND BELLS,1390.0500000000002,291,37
GARLAND WOODEN HAPPY EASTER,3290.75,2852,133
"GARLAND, MAGIC GARDEN 1.8M",627.6,344,22
"GARLAND, VINTAGE BELLS",121.38,42,5
GEISHA GIRL CHOPSTICKS SET/5,204.75,105,9
GEMSTONE CHANDELIER T-LIGHT HOLDER,308.1,70,5
GENTLEMAN SHIRT REPAIR KIT ,1918.03,2407,68
GEORGIAN TRINKET BOX,1356.5,115,29
GERANIUM FOLKART HEART DECORATION,41.25,33,7
GERANIUM SQUARE HANDY TIN,33.75,27,6
GIANT 50'S CHRISTMAS CRACKER,4294.65,1633,158
GIANT BLACK SUNGLASSES,128.7,66,12
GIANT MEDINA STAMPED METAL BOWL ,1308.5,142,31
GIANT PINK HEART MEMO HOLDER,252.8,64,22
GIANT SEVENTEEN DRAWER SIDEBOARD,165.0,1,1
GIFT BAG BIRTHDAY,553.98,852,48
GIFT BAG LARGE 50'S CHRISTMAS,30.0,24,2
GIFT BAG LARGE SPOT ,60.0,48,3
GIFT BAG LARGE VINTAGE CHRISTMAS,125.0,100,5
GIFT BAG PSYCHEDELIC APPLES,654.9100000000001,1007,59
GIN & TONIC DIET GREETING CARD ,2188.26,5337,102
GIN + TONIC DIET METAL SIGN,27067.65,12746,262
GIN AND TONIC DIET METAL SIGN,1044.51,445,28
GIN AND TONIC MUG,6038.23,4911,123
GINGERBREAD MAN COOKIE CUTTER,7444.16,6303,255
GINGHAM BABUSHKA DOORSTOP,384.22,186,34
GINGHAM HEART  DOORSTOP RED,4265.39,1235,166
GINGHAM HEART DECORATION,3887.5299999999997,4489,161
GINGHAM HEART WREATH,414.70000000000005,146,24
GINGHAM OVEN GLOVE RED HEART ,390.0,104,40
GINGHAM RECIPE BOOK BOX,1372.95,289,53
GINGHAM ROSE WRAP,1024.3,2515,73
GIRAFFE WOODEN RULER,4581.839999999999,2456,115
GIRLS ALPHABET IRON ON PATCHES ,4037.76,21696,23
GIRLS VINTAGE TIN SEASIDE BUCKET,4973.97,2167,122
GIRLY PINK TOOL SET,921.5500000000001,203,17
GLAMOROUS  MUG,4313.96,4476,91
GLASS  BEURRE DISH,5886.14,1570,94
GLASS  SONGBIRD STORAGE JAR,1152.45,99,32
GLASS AND BEADS BRACELET IVORY,11.25,3,1
GLASS AND PAINTED BEADS BRACELET TO,33.75,9,2
GLASS APOTHECARY BOTTLE ELIXIR,1987.5800000000002,542,67
GLASS APOTHECARY BOTTLE PERFUME,2679.7400000000002,732,86
GLASS APOTHECARY BOTTLE TONIC,2247.7400000000002,612,75
GLASS BEAD HOOP EARRINGS AMETHYST,14.75,5,3
GLASS BEAD HOOP EARRINGS BLACK,5.9,2,2
GLASS BEAD HOOP EARRINGS GREEN,5.9,2,1
GLASS BEAD HOOP EARRINGS MONTANA,14.75,5,2
GLASS BEAD HOOP NECKLACE AMETHYST,42.5,5,3
GLASS BEAD HOOP NECKLACE BLACK,42.5,5,4
GLASS BEAD HOOP NECKLACE GREEN,25.5,3,2
GLASS BEAD HOOP NECKLACE MONTANA,34.0,4,2
GLASS BON BON JAR,2734.47,1705,66
GLASS BONBON JAR PARFUME AUX FLEURE,434.26,362,34
GLASS BONBON JAR. D'AMANDES,87.5,70,10
GLASS BONBON JAR. SUPERFINES,72.5,58,9
GLASS BONNE JAM JAR,211.65000000000003,51,11
GLASS CAKE COVER AND PLATE,2117.3999999999996,132,50
GLASS CAKE STAND,855.65,59,24
GLASS CAKE STAND MIRRORED BASE,164.45,11,6
GLASS CHALICE BLUE  LARGE ,175.35,79,7
GLASS CHALICE BLUE SMALL ,512.66,650,40
GLASS CHALICE GREEN  LARGE ,494.44,260,17
GLASS CHALICE GREEN  SMALL ,431.59999999999997,340,23
GLASS CHICKEN BUTTER DISH,80.55,43,12
GLASS CLOCHE LARGE,2157.3,273,35
GLASS CLOCHE SMALL,2275.73,633,60
GLASS ETCHED T-LIGHT HOLDER LARGE,1761.0000000000002,900,43
GLASS ETCHED T-LIGHT HOLDER MEDIUM,858.75,457,29
GLASS HEART T-LIGHT HOLDER ,3036.5499999999997,4144,93
GLASS HONEYPOT WASP CATCHER,3336.15,1889,101
GLASS JAR DAISY FRESH COTTON WOOL,3063.6,1130,91
GLASS JAR DIGESTIVE BISCUITS,4027.7,1346,76
GLASS JAR ENGLISH CONFECTIONERY,4295.15,1601,97
GLASS JAR KINGS CHOICE,2930.52,944,46
GLASS JAR MARMALADE ,1144.19,417,47
GLASS JAR PEACOCK BATH SALTS,1141.73,403,68
"GLASS JAR, ENGLISH CONFECTIONERY",0.0,0,1
"GLASS JAR, KINGS CHOICE SOAP",112.10000000000001,38,7
GLASS SONGBIRD STORAGE JAR,101.7,9,2
GLASS SPHERE CANDLE STAND LARGE ,389.05,215,8
GLASS SPHERE CANDLE STAND MEDIUM,658.05,233,28
GLASS STAR FROSTED T-LIGHT HOLDER,2938.69,623,79
GLASS TWIST BON BON JAR,271.8,36,11
GLASS WINE GLASS DECORATIONS,27.5,22,3
GLITTER BUTTERFLY CLIPS,6862.650000000001,2975,102
GLITTER CHRISTMAS HEART ,803.2299999999999,967,50
GLITTER CHRISTMAS STAR ,1281.28,2388,93
GLITTER CHRISTMAS TREE,546.1899999999999,911,52
GLITTER CHRISTMAS TREE WITH BELLS,682.01,485,39
GLITTER HANGING BUTTERFLY STRING,5524.03,2642,94
